"About our Store","A propos de notre magasin"
"Add '%s' to cart now!","Acheter '%s' maintenant !"
"Buy our best selling product now!","Acheter notre meilleure vente maintenant !"
"Check our","Visiter notre"
"Go to google.com","Aller sur google.com"
"Our products are the best ever!","Nos produits sont les mieux !"
"Visit google.com","Visiter google.com"
"Who we are","Qui sommes-nous"
